facility_id,facility_name,state,city,county,zip_code,condition,measure_name,number_of_discharges,discharge_count_missing,hospital_type,hospital_ownership,ownership_group,emergency_services,promoting_interoperability,nurse_communication_pct,doctor_communication_pct,staff_responsiveness_pct,discharge_information_pct,definitely_recommend_pct,care_transition_score,completed_surveys,survey_response_rate_pct,excess_readmission_ratio,high_readmission,hrrp_start_date,hrrp_end_date,hcahps_start_date,hcahps_end_date,readmission_group,data_split,predicted_probability,predicted_readmission_group,prediction_result
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,Hip/knee replacement,READM-30-HIP-KNEE-HRRP,,1,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,0.9875,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,Bypass surgery (CABG),READM-30-CABG-HRRP,137.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,0.9531,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,Heart attack (AMI),READM-30-AMI-HRRP,273.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,0.937,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,COPD,READM-30-COPD-HRRP,122.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,0.9823,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,Pneumonia,READM-30-PN-HRRP,507.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,0.9871,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,HOUSTON,36301,Heart failure,READM-30-HF-HRRP,653.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,73.0,78.0,59.0,85.0,74.0,82.0,641.0,17.0,1.0233,1,07/01/2021,06/30/2024,10/01/2022,09/30/2023,Above expected,Training,,,
010005,MARSHALL MEDICAL CENTERS,AL,BOAZ,MARSHALL,35957,COPD,READM-30-COPD-HRRP,132.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,76.0,80.0,51.0,86.0,62.0,80.0,731.0,17.0,0.9308,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010005,MARSHALL MEDICAL CENTERS,AL,BOAZ,MARSHALL,35957,Heart failure,READM-30-HF-HRRP,164.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,76.0,80.0,51.0,86.0,62.0,80.0,731.0,17.0,1.0087,1,07/01/2021,06/30/2024,10/01/2022,09/30/2023,Above expected,Training,,,
010005,MARSHALL MEDICAL CENTERS,AL,BOAZ,MARSHALL,35957,Hip/knee replacement,READM-30-HIP-KNEE-HRRP,,1,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,76.0,80.0,51.0,86.0,62.0,80.0,731.0,17.0,0.8602,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
010005,MARSHALL MEDICAL CENTERS,AL,BOAZ,MARSHALL,35957,Pneumonia,READM-30-PN-HRRP,292.0,0,Acute Care Hospitals,Government - Hospital District or Authority,Government,Yes,Yes,76.0,80.0,51.0,86.0,62.0,80.0,731.0,17.0,0.8727,0,07/01/2021,06/30/2024,10/01/2022,09/30/2023,At or below expected,Training,,,
